,,,,,,,
,,,,,,,
,ITEM,日期,支出收入名稱,項目,金額,餘額,備註
,,,,,,,
,1,1/1,一份月公積金,蔡 LU 翰 繳,"1,500","4,438",
,2,1/30,聚餐,蔡 付款,"-4,389",49,
,3,2/1, 二月 公積金 - 蔡,蔡 繳,500,549,
,4,2/1,網路費,蔡 支出,-399,150,
,5,2/6,二月 公積金 - LU,LU 繳,500,650,
,6,2/6,水費,蔡 支出,-367,283,
,7,2/25,瓦斯費,蔡 支出,-615,-332,
,8,2/25,電費,蔡 支出,-611,-943,
,9,3/1, 三月 公積金 - 蔡 LU,蔡 LU 繳,"1,000",57,
,10,3/1, 二 三月 公積金 - 張,張 繳,"1,000","1,057",
,11,3/1,炒鍋鍋把,LU 支出,-140,917,
,12,3/1,衛生紙 兩袋,LU 支出,-678,239,
,13,3/11,三月 網路費,蔡 支出,-399,-160,
,14,4/13, 四月 公積金 - 蔡,蔡 繳,500,340,
,15,4/13,蓮蓬頭的線,張 支出,-270,70,
,17,4/13,水費,蔡 支出,-357,-287,
,18,4/14, 四月 公積金 - LU 張,LU 張 繳,"1,000",713,
,19,4/24,電費,蔡 支出,-517,196,
,20,4/29,瓦斯費,蔡 支出,-696,-500,
,21,5/6,五月 公積金 - 蔡 LU,蔡 LU 繳,"1,000",500,
,22,5/6,垃圾袋 沾版,LU 購買,-600,-100,
,23,5/6,四月 網路費,蔡 支出,-399,-499,
,24,5/14,吸塵器濾芯,LU 購買,-297,-796,
,25,5/29,發票中獎,蔡 中獎,500,-296,
,26,5/31,六月 公積金 - 蔡,蔡 繳,500,204,
,27,6/08,五月 六月 公積金 - 張,張 繳,"1,000","1,204",
,28,6/10,六月 公積金 - Lu,Lu 繳,500,"1,704",
,29,6/11,水費,蔡 支出,-315,"1,389",
,30,,,,,,
,31,,,,,,
,32,,,,,,
,33,,,,,,
,34,,,,,,
,35,,,,,,
,36,,,,,,
,37,,,,,,
,38,,,,,,
,39,,,,,,
,40,,,,,,
,41,,,,,,
,42,,,,,,
,43,,,,,,
,44,,,,,,
,45,,,,,,
,46,,,,,,
,47,,,,,,
,48,,,,,,
,49,,,,,,
,50,,,,,,
,51,,,,,,
,52,,,,,,
,53,,,,,,
,54,,,,,,
,55,,,,,,
,56,,,,,,
,57,,,,,,
,58,,,,,,
,59,,,,,,
,60,,,,,,
,61,,,,,,
,62,,,,,,
,63,,,,,,
,64,,,,,,
,65,,,,,,
,66,,,,,,
,67,,,,,,
,68,,,,,,
,69,,,,,,
,70,,,,,,
,71,,,,,,
,72,,,,,,
,73,,,,,,
,74,,,,,,
,75,,,,,,
,76,,,,,,
,77,,,,,,